Table Entry,Button Combo,BG Color 0x00,BG Color 0x01,BG Color 0x02,BG Color 0x03
0x00,,#FFFFFF,#ADAD84,#42737B,#000000
0x01,,#FFFF9C,#94B5FF,#639473,#003A3A
0x02,,#6BFF00,#FFFFFF,#FF524A,#000000
0x03,,#52DE00,#FF8400,#FFFF00,#FFFFFF
0x04,,#FFFFFF,#7BFF00,#B57300,#000000
0x05,Right,#FFFFFF,#52FF00,#FF4200,#000000
0x06,,#FFFFFF,#FF9C00,#FF0000,#000000
0x07,A + Down,#FFFFFF,#FFFF00,#FF0000,#000000
0x08,,#A59CFF,#FFFF00,#006300,#000000
0x09,,#FFFFCE,#63EFEF,#9C8431,#5A5A5A
0x0A,,#B5B5FF,#FFFF94,#AD5A42,#000000
0x0B,,#FFFFFF,#63A5FF,#0000FF,#000000
0x0C,,#FFFFFF,#8C8CDE,#52528C,#000000
0x0D,A + Left,#FFFFFF,#8C8CDE,#52528C,#000000
0x0E,,#FFFFFF,#7BFF31,#008400,#000000
0x0F,,#FFFFFF,#FFAD63,#843100,#000000
0x10,A + Up,#FFFFFF,#FF8484,#943A3A,#000000
0x11,,#FFFFFF,#FF8484,#943A3A,#000000
0x12,Up,#FFFFFF,#FFAD63,#843100,#000000
0x13,B + Right,#000000,#008484,#FFDE00,#FFFFFF
0x14,,#FFFFFF,#63A5FF,#0000FF,#000000
0x15,,#FFFFFF,#ADAD84,#42737B,#000000
0x16,B + Left,#FFFFFF,#A5A5A5,#525252,#000000
0x17,Down,#FFFFA5,#FF9494,#9494FF,#000000
0x18,Left,#FFFFFF,#63A5FF,#0000FF,#000000
0x19,B + Up,#FFE6C5,#CE9C84,#846B29,#5A3108
0x1A,B + Down,#FFFFFF,#FFFF00,#7B4A00,#000000
0x1B,,#FFFFFF,#FFCE00,#9C6300,#000000
0x1C,A + Right,#FFFFFF,#7BFF31,#0063C5,#000000
