Table Number,Table Entry,Layer,Color 0x00,Color 0x01,Color 0x02,Color 0x03
0x01,0x01,OBJ0,#FFC542,#FFD600,#943A00,#4A0000
0x01,0x02,OBJ0,#FFFFFF,#FFFFFF,#63A5FF,#0000FF
0x01,0x08,OBJ0,#FF6352,#D60000,#630000,#000000
0x01,0x09,OBJ0,#FFFFFF,#FF7300,#944200,#000000
0x01,0x0A,OBJ0,#000000,#FFFFFF,#FF8484,#943A3A
0x01,0x11,OBJ0,#FFFFFF,#00FF00,#318400,#004A00
0x01,0x14,OBJ0,#FFFF00,#FF0000,#630000,#000000
0x04,0x00,OBJ1,#FFFFFF,#5ABDFF,#FF0000,#0000FF
0x04,0x08,OBJ1,#0000FF,#FFFFFF,#FFFF7B,#0084FF
0x04,0x0B,OBJ1,#FFFFFF,#FFFF7B,#0084FF,#FF0000
